je (parler) (présent)|je parle
nous (nager) (présent)|nous nageons
vous (nager) (présent)|vous nagez
elles (nager) (présent)|elles nagent
je (acheter) (présent)|j'achète
tu (acheter) (présent)|tu achètes
il (acheter) (présent)|il achète
nous (acheter) (présent)|nous achetons
vous (acheter) (présent)|vous achetez
ils (acheter) (présent)|ils achètent
je (s'appeler) (présent)|je m'appelle
tu (s'appeler) (présent)|tu t'appelles
il (s'appeler) (présent)|il s'appelle
nous (s'appeler) (présent)|nous nous appelons
vous (s'appeler) (présent)|vous vous appelez
elles (s'appeler) (présent)|elles s'appellent
je (payer) (présent)|je paie
tu (payer) (présent)|tu paies
elle (payer) (présent)|elle paie
nous (payer) (présent)|nous payons
vous (payer) (présent)|vous payez
ils (payer) (présent)|ils paient
je (préférer) (présent)|je préfère
tu (préférer) (présent)|tu préfères
on (préférer) (présent)|on préfère
nous (préférer) (présent)|nous préférons
vous (préférer) (présent)|vous préférez
elles (préférer) (présent)|elles préfèrent
je (commencer) (présent)|je commence
tu (commencer) (présent)|tu commences
elle (commencer) (présent)|elle commence
nous (commencer) (présent)|nous commençons
vous (commencer) (présent)|vous commencez
ils (commencer) (présent)|ils commencent
je (envoyer) (présent)|j'envoie
tu (envoyer) (présent)|tu envoies
il (envoyer) (présent)|il envoie
nous (envoyer) (présent)|nous envoyons
vous (envoyer) (présent)|vous envoyez
elles (envoyer) (présent)|elles envoient
je (ouvrir) (présent)|j'ouvre
tu (ouvrir) (présent)|tu ouvres
il (ouvrir) (présent)|il ouvre
nous (ouvrir) (présent)|nous ouvrons
vous (ouvrir) (présent)|vous ouvrez
elles (ouvrir) (présent)|elles ouvrent
je (suivre) (présent)|je suis
tu (suivre) (présent)|tu suis
il (suivre) (présent)|il suit
nous (suivre) (présent)|nous suivons
vous (suivre) (présent)|vous suivez
elles (suivre) (présent)|elles suivent
je (venir) (présent)|je viens
tu (venir) (présent)|tu viens
on (venir) (présent)|on vient
nous (venir) (présent)|nous venons
vous (venir) (présent)|vous venez
ils (venir) (présent)|ils viennent
je (vouloir) (présent)|je veux
tu (vouloir) (présent)|tu veux
il (vouloir) (présent)|il veut
nous (vouloir) (présent)|nous voulons
vous (vouloir) (présent)|vous voulez
elles (vouloir) (présent)|elles veulent
je (pouvoir) (présent)|je peux
tu (pouvoir) (présent)|tu peux
on (pouvoir) (présent)|on peut
nous (pouvoir) (présent)|nous pouvons
vous (pouvoir) (présent)|vous pouvez
ils (pouvoir) (présent)|ils peuvent
je (connaître) (présent)|je connais
tu (connaître) (présent)|tu connais
il (connaître) (présent)|il connaît
nous (connaître) (présent)|nous connaissons
vous (connaître) (présent)|vous connaissez
elles (connaître) (présent)|elles connaissent
je (savoir) (présent)|je sais
tu (savoir) (présent)|tu sais
elle (savoir) (présent)|elle sait
nous (savoir) (présent)|nous savons
vous (savoir) (présent)|vous savez
ils (savoir) (présent)|ils savent
je (dormir) (présent)|je dors
tu (dormir) (présent)|tu dors
on (dormir) (présent)|on dort
nous (dormir) (présent)|nous dormons
vous (dormir) (présent)|vous dormez
elles (dormir) (présent)|elles dorment
je (servir) (présent)|je sers
tu (servir) (présent)|tu sers
elle (servir) (présent)|elle sert
nous (servir) (présent)|nous servons
vous (servir) (présent)|vous servez
ils (servir) (présent)|ils servent
